Read,Genre,Author,Title,Year
1998,Fiction,Ben Elton,Inconceivable,
1998,Fiction,Jostein Gaadner,Christmas mystery,1992
1998,Fiction,John Wyndham,The Trouble with Lichen,1960
1998,Science,Richard Dawkins,Climbing mount improbable,
1998,History,Lars Ebbesen,Unarmed to the South Pole,
1997,Fiction,Bryce Courtney,The Power of One,
1997,Fiction,Bryce Courtney,Tandia,
1997,Fiction,Ben Elton,Gridlock,
1997,Fiction,Ben Elton,Stark,
1997,Fiction,Jostein Gaadner,Solitaire mystery,1990
1997,Fiction,Tom Robbins,Another Roadside Attraction,1971
1997,Fiction,Tom Robbins,Even Cowgirls Get the Blues,1976
1997,Fiction,Tom Robbins,Still Life with Woodpecker,1980
1997,Fiction,John Wyndham,Day of the Triffids,1951
1996,Fiction,Jostein Gaadner,Sophie's World (Norwegian),1991
1996,History,Robert Hughes,The Fatal Shore,
1995,Fiction,Jane Austen,Emma,
1995,Fiction,William Shakespeare,Much Ado about Nothing,
1995,Fiction,William Shakespeare,King Lear,
1994,Fiction,William Shakespeare,Romeo & Juliet,
1993,Fiction,George Orwell,Animal Farm,
1992,Fiction,William Shakespeare,Merchant of Venice,
1992,Fiction,John Wyndham,The Chrysalids,1955
1991,Fiction,William Golding,Lord of the Flies,
